1571827153.605091	localhost	17519/47	-	visit-example.com.yahoo.documentapi.VisitorIterator	debug	At start of bucket space and all buckets have no progress; doing a lossless reset instead of splitting/merging
1571827153.608966	localhost	17519/47	-	visit-example.com.yahoo.documentapi.VisitorIterator	debug	Increasing distribution bits for full bucket space range source from 1 to 8
1571827153.609468	localhost	17519/47	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: received error reply for bucket BucketId(0x0400000000000000) with message 'WRONG_DISTRIBUTION: version:3 bits:8 distributor:1 storage:1'
1571827153.621864	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.622895	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x2000000000000000) with progress BucketId(0x0000000000000000)
1571827153.623656	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.624648	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x2000000000000080) with progress BucketId(0x0000000000000000)
1571827153.625518	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.626280	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x2000000000000040) with progress BucketId(0x0000000000000000)
1571827153.627031	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.627760	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x20000000000000c0) with progress BucketId(0x0000000000000000)
1571827153.628462	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.629195	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x2000000000000020) with progress BucketId(0x0000000000000000)
1571827153.629918	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.630721	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x20000000000000a0) with progress BucketId(0x0000000000000000)
1571827153.632055	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.633012	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x2000000000000060) with progress BucketId(0x0000000000000000)
1571827153.633808	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.634708	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x20000000000000e0) with progress BucketId(0x0000000000000000)
1571827153.635576	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.636332	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x2000000000000010) with progress BucketId(0x0000000000000000)
1571827153.637161	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.637833	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x2000000000000090) with progress BucketId(0x0000000000000000)
1571827153.638527	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.639264	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x2000000000000050) with progress BucketId(0x0000000000000000)
1571827153.640260	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.641186	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x20000000000000d0) with progress BucketId(0x0000000000000000)
1571827153.642423	localhost	17519/48	-	visit-example.com.yahoo.messagebus.network.rpc.RPCTarget	debug	Version already available for target 'tcp/localhost:19112' (version 7.125.11).
1571827153.643599	localhost	17519/48	-	visit-example.com.yahoo.documentapi.messagebus.MessageBusVisitorSession	debug	visitor-1-1571827153401: sent CreateVisitor for bucket BucketId(0x2000000000000030) with progress BucketId(0x0000000000000000)
